iter	Logloss
0	0.6798907094
1	0.6702635371
2	0.6589352753
3	0.64774665244	0.63900610635	0.6339375679
6	0.6269010167
77	0.617344082388	0.610704131399	0.6039020074110	0.598917846
11	0.5982724135
12	0.5942494427
13	0.585244709
114	0.5859561582115	0.582158237416	0.5736451658117	0.5674293031
18	0.5636225886119	0.559190789820	0.563209749
2121	0.553089128222	0.5499992456223	0.5470232805
24	0.5440179328225	0.5407200229
26	0.5369999123
27	0.5341634199
28	0.5311413187
29	0.5285267273
30	0.5262707449
31	0.5236026145
32	0.5207659624
33	0.5175544924
34	0.515222649
35	0.5134957099
36	0.5114259356
37	0.5087340731
38	0.505718838
339	0.5115734192440	0.5098235303441	0.508034021542	0.4955892554
43	0.4916765139
44	0.4897964889
45	0.4879286363
46	0.4855836886
47	0.4846874575
448	0.4935865792
49	0.4915952983
50	0.4893755862
51	0.4881215832
52	0.4852381252
53	0.4834537526
54	0.4819680714
55	0.4795028138556	0.4780578376
57	0.4760111517
58	0.4740296821559	0.471917666160	0.4585623636
661	0.4679071083662	0.466204482163	0.4540468446
64	0.4532568839
65	0.4521726903
66	0.4509988713
67	0.4490830768
668	0.4582952742
69	0.4570147535
70	0.4552559411
71	0.453116316
72	0.4518774957
73	0.451032306
74	0.449538593
75	0.4485309754
76	0.4462349913
77	0.4450432552
78	0.4440816141
79	0.4424306472
80	0.441275328
81	0.4397728118
82	0.4384921598
83	0.4376780678
84	0.436824509
85	0.4351293977
86	0.4336079473
87	0.4322546086
88	0.4309729293
89	0.4301386527
90	0.4286568432
91	0.4264377365
92	0.4246544194
93	0.423605225
94	0.4224468414
95	0.4212070531
96	0.4203354312
97	0.4183310517
98	0.4169224113
99	0.4158205721
100	0.4147283363
101	0.4134538921
102	0.4122906327
103	0.4106279107
104	0.4084215963
105	0.4072458498
106	0.40512706
107	0.4039167797
108	0.4021508655
109	0.4014175678
110	0.4001863211
111	0.3991535371
112	0.3985121394
113	0.3972191983
114	0.39115	0.3824115	0.3116	0.381116	0.3934177485
117	0.392673067
118	0.391047539
119	0.3900258936
120	0.3874314623
121	0.3859789102
122	0.3843505013
123	0.3834756672
124	0.3823875485
125	0.38126	0.371126	0.3800887545
127	0.3784279972
128	0.3776676151
129	0.376391445
130	0.37482543
131	0.3742939897
132	0.3729133	0.3133	0.3717134	0.134	0.37101135	0.135	0.3690863272
136	0.3683070458
137	0.3670281933
138	0.3661737917
139	0.3645990824
1140	0.35810719871141	0.357144619
142	0.3621695366
143	0.3611680098
144	0.360004575
145	0.3588057439
146	0.3574727868
1147	0.3519148	0.3488869326
149	0.149	0.3501178038
150	0.3494183735151	0.352832152	0.152	0.3468412361153	0.3515685039
154	0.350526155	0155	0.349389156	01156	0.34280157	0.157	0.3416158	0.3158	0.3408159	0.3159	0.3402160	0.3160	0.3392161	0.1161	0.33813039516162	0.3370906884
163	0.3361235315
164	0.33469739165165	0.3340166	0.3314169577
167	0.3305943031
168	0.3291771054
169	0.3281336373
170	0.3276412325
171	0.3270004972
172	0.3258347096
173	0.324744903
174	0.3241205975
175	0.175	0.3270914431176	0.3298207189
177	0.3290378776
178	0.3282880521
179	0.3274170893
180	0.326538181	0181	0.325727182	0182	0.324838183	0183	0.324294184	184	0.3237965185	185	0.3225822186	186	0.3217947187	0.3139731062
188	0.313463414
189	189	0.31896190	0.190	0.3174465563
191	0.316332604
192	0.3153797943
193	0.3142001368
194	0.313756195	0195	0.312818196	0196	0.3118210109
197	0.3114019362
198	0.310722554
199	0.3090596903
200	0.3085364695
201	0.3074263961
202	0.3063181203	203	0.3054453204204	0.3041830166
205	0.3036093755
206	0.3027925706
207	0.3021656208	208	0.3014590107
209	0.3003449210	0.2934516117
211211	0.29826248212212	0.29740087213213	0.2967442336
214	0.2961365798
215	0.2953452045
216	0.29492639217217	0.29380687218	0.286964596
219	0.2857872041
220	0.2853066035
221	0.2836098442
222	0.282640474
223	0.2818627219
224	0.2811347727
225	0.2805151667
226	0.2792520644
227	0.2781394166
228	0.2773383744
229	0.2764629747
230	0.2758938865
231	0.2750951903
232	0.2738807932
233	0.2732667765
234	0.2726391243
235	0.2719329567
236	0.2708452516
237	0.2703686391
238	0.2696441346
239	0.2687572237
240	0.2682441929
241	0.2674295302
242	0.2666937788
243	0.2658853241
244	0.2654845532
245	0.2644172386
246	0.2637266154
247	0.2631336417
248	0.2626295813
249	0.2620627811
250	0.261451269
251	0.2607755877
252	0.2602833396
253	0.2599806325
254	0.2591376439
255	0.2586431317
256	0.258078938
257	0.2575786093
258	0.2572218766
259	0.2566813547
260	0.2556661963
261	0.2548892538
262	0.2539868228
263	0.2535663006
264	0.2527839734
265	0.2514343453
266	0.2508103192
267	0.2503572361
268	0.2497234441
269	0.2492896557
270	0.2482809358
271	0.2477502526
272	0.2472643184
273	0.2463034255
274	0.2459470271
275	0.2453580725
276	0.2447447834
277	0.2439425652
278	0.2434230904
279	0.2430417509
280	0.2424574886
281	0.2421653687
282	0.2414997241
283	0.2406719114
284	0.2403369833
285	0.2395104977
286	0.2386562749
287	0.2383587827
288	0.2378064153
289	0.2373216245
290	0.2364020086
291	0.2358212478
292	0.2350665373
293	0.2344065615
294	0.2335486115
295	0.2329983217
296	0.2325794848
297	0.2322633928
298	0.2316497417
299	0.2310137854

63517
