inst,TotalPnL,Sharpe,MaxDD
0,36175.90000000034,7987.7880916855265,31759.000000000055
1,-9448.300000000687,-986.1744790740481,106476.40000000052
2,154598.9999999999,10269.322657596886,90450.30000000005
3,5460.19999999983,482.47836317567896,115061.50000000032
4,-37715.99999999949,-4701.216001701645,112553.29999999977
5,-10646.0999999999,-2786.091661679278,55469.59999999986
6,20809.05000000028,2493.735243751553,102318.19999999984
7,297240.30000000005,18208.145036807964,111525.9000000002
8,-39184.799999999566,-2502.812995321922,130518.40000000014
9,392269.5,15351.04163382746,242550.00000000006
10,62543.34999999998,5760.966528891249,107991.79999999983
11,260140.3999999993,13965.22315276602,158261.50000000026
12,-45946.3499999999,-3966.0808314551196,127844.09999999977
13,-48764.74999999975,-5440.720780175257,101176.3000000003
14,321660.0000000006,15952.294499629195,145303.99999999956
15,16360.24999999989,1762.8314067808506,69460.29999999983
16,255969.9499999996,18164.55148242596,75955.39999999976
17,144318.40000000095,15015.76700617628,49498.2
18,-54858.84999999996,-4537.00811308966,117147.59999999998
19,-12151.999999999714,-2833.824179230247,47322.90000000004
20,-87069.70000000022,-12262.14476359176,153514.00000000026
21,-32041.400000000096,-3338.2038088283675,107074.29999999967
22,-164464.5000000004,-6059.236477577771,462661.49999999977
23,-248208.70000000054,-8977.911466585103,425375.9999999989
24,76189.95000000014,6701.194042865642,99178.2
25,188278.15000000055,17320.756735382998,73614.59999999964
26,102409.15000000027,8057.422811434677,94011.30000000048
27,123227.75,15617.78096148574,45219.59999999995
28,-94632.89999999976,-4416.86350459326,507142.89999999956
29,100091.99999999956,7165.215177774291,85000.89999999983
30,89223.65000000015,16829.61720262246,42875.89999999989
31,99153.6499999999,7415.361721132024,75008.60000000006
32,406606.54999999993,27256.41569722426,83519.54999999994
33,-3577.5499999998083,-874.0232600716653,29931.599999999875
34,-36726.39999999966,-3282.6517524272467,112345.09999999966
35,-79739.14999999988,-9056.236183212877,135559.70000000007
36,281256.70000000123,18106.47496362269,82739.4999999996
37,18753.549999999974,1168.0798680065006,143956.50000000032
38,-35783.45000000186,-3724.899256915222,99365.20000000203
39,-44988.80000000277,-4214.025945795004,142351.40000000183
40,-69611.5999999993,-4939.079906439132,160494.79999999946
41,93673.95000000068,6521.180272782376,99980.20000000046
42,113743.19999999974,10354.3748984604,107312.20000000008
43,16910.649999999518,2155.436920640234,76272.4000000004
44,284814.2000000002,19236.01215475469,159392.40000000002
45,-86879.95000000006,-22611.654264789813,92079.94999999994
46,54176.59999999979,3092.353303146586,187867.9000000001
47,-5457.749999999711,-1048.181130504657,56028.799999999974
48,-182212.49999999907,-16880.073023918238,229754.89999999915
49,-61715.69999999998,-9178.401029599945,77585.49999999999
