inst,time,ma_reg,ema_reg,macd_reg,kalman_reg,fib_reg,psar_reg,zscore_reg,wret_reg,slope_vol_reg,true_regime
0,749,2,2,2,2,0,0,2,0,0,2
1,749,0,0,0,0,0,0,0,0,0,0
2,749,2,2,2,2,1,2,2,2,2,2
3,749,0,0,2,0,0,2,0,2,2,0
4,749,0,0,2,0,0,2,0,0,0,0
5,749,0,0,0,0,0,0,1,0,0,2
6,749,2,2,2,2,2,2,2,2,0,0
7,749,0,0,0,0,0,0,0,0,0,0
8,749,2,2,2,2,2,2,2,2,0,2
9,749,2,2,2,2,0,0,2,2,0,2
10,749,2,2,2,2,2,2,2,2,2,0
11,749,0,0,2,0,0,0,1,2,0,0
12,749,0,0,0,0,0,0,0,0,0,0
13,749,0,0,0,0,0,2,0,0,0,0
14,749,2,2,2,2,0,0,2,2,2,0
15,749,0,0,2,0,1,0,1,2,2,0
16,749,2,2,2,2,2,2,2,2,0,2
17,749,2,2,2,2,2,2,2,2,0,2
18,749,2,2,2,2,2,0,2,2,0,2
19,749,2,2,2,2,0,0,2,2,2,2
20,749,2,0,2,0,0,0,1,2,2,0
21,749,2,2,2,2,1,2,2,2,2,2
22,749,0,0,0,0,0,0,0,2,0,0
23,749,2,2,2,2,1,0,2,2,0,2
24,749,0,0,0,0,0,2,0,0,0,2
25,749,0,0,2,0,0,0,0,0,0,2
26,749,2,2,0,2,1,2,2,2,2,0
27,749,0,0,0,0,0,0,0,0,0,0
28,749,0,0,0,0,0,0,0,0,0,0
29,749,0,0,0,0,0,0,0,0,0,2
30,749,2,2,2,2,2,0,2,2,0,2
31,749,2,2,2,2,2,2,2,2,2,2
32,749,2,2,2,2,2,2,2,2,0,2
33,749,2,2,2,2,1,0,2,2,2,2
34,749,0,0,0,0,0,0,0,0,0,0
35,749,0,0,0,0,0,0,0,0,0,2
36,749,2,2,2,2,1,0,2,2,0,2
37,749,2,2,2,2,0,0,2,2,0,2
38,749,2,0,2,0,0,0,1,0,0,0
39,749,0,0,2,0,0,0,0,2,0,0
40,749,0,0,0,0,0,0,0,0,0,0
41,749,2,2,2,2,2,2,1,2,2,0
42,749,0,0,0,0,0,0,0,0,0,0
43,749,2,2,2,2,2,2,2,2,0,2
44,749,2,2,2,2,2,2,2,2,0,0
45,749,2,2,2,2,2,2,2,2,0,2
46,749,2,2,0,2,1,0,2,2,0,2
47,749,0,0,0,0,0,0,0,0,0,0
48,749,0,0,0,0,0,2,0,0,0,0
49,749,0,0,0,0,0,0,0,0,0,0
